TicketId,Text
1,سلام
1,تست
2,تست
2,dfgdfg
3,تست
6,سلام ببخشید چجوری میشه یه فایل دیگه رو به عنوان تکلیف اپلود کنم
6,باشه ممنون
6,سلام همون طور که میدونید کم کم تایم امتحانات اگه میشه محلت ارسال رو بیشتر کنید
7,سلام ببخشید من یک مشکلی داشتم تمرینات نتونستم ارسال کنم و الان نوشته تمام شده وقت ارسال من باید چیکار بکنم 
8,سلام خسته نباشید؛ آیا تمرینات بخش مربوط به پایتون رو هم باید به شکل pdf ارسال کنیم یا فایل py? اگر باید به شکل pdf ارسال کنیم چطور این کار رو انجام بدیم؟؟؟
9,سلام  تمرین های ما کی تصحیح میشه؟
9,آیا تصحیح شده؟
9,سلام وقت شما بخیر
9,محتوای آموزشی جدید کی آپلود میشه؟پ
9,سلام
9,من چه جایزه ای بردم؟
9,سلام بعد از پایان فاز آموزش عمومی ما باز هم به محتوای آموزشی فاز عمومی دسترسی داریم؟ بعد از پایان فاز آموزش عمومی چه می شود؟
11,سلام وقتتون بخیر. من نتونستم ویدئوی جلسه‌ی دوم رو به موقع ببینم و طبیعتا نتونستم تمارینش رو هم ارسال کنم. الان ویدئوهای دیگه هم برام نمیان و آخرین مهلت ارسال تکلیف تا امروز هست. الان باید چیکار کنم؟ دیگه نمی‌تونم بقیه‌اش رو ببینم؟؟؟
12,"سلام خسته نباشید . بنده این مدت درگیر امتحان های میان ترم بودم و نمیتونستم تکالیف رو ارسال کنم ، الان اومدم و میبینم زمان تکالیف بسته شده ، در حالی که توی کانال روبیکا نوشته شده بود تا 16 اردیبهشت برای جلسه سوم و چهارم وقت هست ، خواهش میکنم وقت اضافه بدین"
12,سللم هر کاری میکنم و در حال دیدن ویدیو هستم تست ها برایم بالا نمیایند ولی مینویسد تست ها را دیدی و نمره صفر به من میدهد در حالی که هیچ تستی راندیدم و هیچ چیز را جواب ندادم و حتی اسکیپ هم نکردم اعصابم سر این سوالات خورد شده چیکار کنم که درست شه این وضعیت ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟
12,وقتی ویدیو شروع میشه سریع رفرش میشه تست ها که با پوینت زرد اون پایین هستن پاک میشه و امتیازش رد میشه در حالی که حتی ویدیو رو شروع نکرم ....
12,"وای ، دوباره هم همین اتفاق افتاد"
12,چیکار باید کنم
12,"سلام وقتتون بخیر از edge استفاده میکنم ، و اینترنت مخابرات دارم ، بله از یک سیستم استفاده میکنم ، اون مواردی که سوال رو ثبت کردم مجبور شدم بدون دیدن ویدیو بزنم رو گزینه زرد پایینش که میگه به مشاهده نیاز ندارم"
12,"خیلی متشکرم ازتون ، واقعا لطف کردید"
12,"سوالات رو جواب دادم ، فقط جلسه 2 قسمت 3 پایتون باز نمیشه برام"
12,و سوال دیگری که دارم این است از چه مرورگری استفاده کنم که دیگر این اتفاق نیفتد؟
12,یعنی مجبورم بدون دیدن ویدیو به وسالات پاسخ دهم؟
12,"برای قسمت 3 پایتون خواستم این را امتحان کنم ولی دوباره به تست ها جواب نداد ، میترسم در آموزش های فاز بعد هم این اتفاق بیفتد"
12,چیکار کنم که این اتفاق نیفته؟
12,خیلی خیلی متشکرم ازتون🌹
12,"سلام امکانش نیست مهلت تکالیف رو فقط یه روز اضافه کنین؟ بعد امتحانات به مسافرت رفته بودیم و نمیتونستم وارد بشم ، اطلاعیه هارو الان دیدم ، اگه امکانش هست ، لطفا فقط یه روز اینکارو انجام بدید ، و اینکه اگه قراره دوباره اینکارو کنین تو روبیکا یا با پیامک اطلاع رسانی کنید که دیگه جا نمونیم ... 😭"
12,"سلام وقتتون بخیر باشه ، یه سوال برای المپیک باید جایی ثبت نام کنیم؟لایو رو دیدم ولی میشه لطفا یه متن هم از المپیک تو کانال روبیکا بگذارید؟"
12,"سلام ، خیلی خیلی متشکرم"
12,"سلام وقت بخیر ، تو کانال روبیکای کیبرد نوشتید چالش تمدید شده ، ولی توی قسمت چالش ها تغییری اعمال نشده ، آیا پیام چنل درست است؟"
13,سلام روز بخیر
18,سلام لطف می کنید زمان ارسال تمرینات را چند روز افزایش دهید؟
18,سلام ببخشید هم اکنون ساعت ۲۳:۲۲ روز ۱۹ اردیبهشت است ولی تمرین دوم یخش پایتون(۲) برایم غیر فعال شده است در صورتی که تا ۳۷ دقیقه دیگر وقت دارم. لطفا آن را برایم باز کنید.
18,این نماگرفت آن است.
18,من هر کاری کردم نتوانستم ارسال کنم. با توجه به اینکه من قبل از اتمام مهلت تکلیف خود را ارسال کرده ام لطف کنید شما آن را بارگذاری کنید.
20,امتیاز ویدیو دوم برای من لحاظ نشده  ایا مشکلی پیش میاد لطفا اطلاع رسانی کنید
20,الان یه ویدیو دیگه ام دیدم همینطوری شد
20,ولی برای من لحاظ نشده
21,سلام وقت بخیر  ببخشید میشه لطفا مهلت ارسال تمرین جلسه سوم و چهارم را تمدید کنید به علت امتحانات نتونستم حل کنم 
21,ممنونم 
21,سلام 
21,وقت بخير لطفا مهلت ارسال تمرين را تمديد كنيد به علت ويروس جديد توانايي انجام انها فراهم  نيست 
21,ممنونم 
24,سلام من هر کار میکنم نمیتونم برم به سوالات پاسخ دهم  
24,چکار کنم
25,"سلام من به خاطر امتحانات چند جلسه رو نتونستم ببینم، الان که زمان ارسال تکالیف تموم شده، فیلم‌های بعدی و برام باز نمی‌کنه، چرا؟"
25,وقتی مهلت تموم شده امتیاز سوال‌هام ثبت نمی‌شه و به مرحله بعدی نمی‌رم
26,سلام خسته نباشید. ببخشید شما برای ارسال پاسخ تمرینات ویدیو های جلسه دوم و سوم تا تاریخ ۱۶ اردیبهشت وقت داده بودید اما الان گزینه ارسال پاسخ ها برای ما بسته شده.
28,"سلام خسته نباشید  ببخشید میشه یک لطفی کنید اموزش پایتون ۱ و ۲ زمان بیشتری بدید برای تکالیف، من دوازدهم هستم و نهایی نزدیکه واقعا فرصت نشده  لطفا یکم زمانهاشونو بیشتر کنید "
